area_sqm,rooms,bathrooms,floor,property_age,latitude,longitude,district,price
84.2,2,1,10,0,30.066289,31.205637,Mohandeseen,1917000
295.6,7,5,4,8,30.029027,31.454797,New Cairo,6328000
396.8,8,5,17,22,29.960224,31.277923,Maadi,6461000
141.1,4,4,3,1,30.007077,30.96042,Sheikh Zayed,2430000
94.0,1,1,9,28,29.960647,31.278704,Maadi,1225000
383.2,8,5,16,8,30.055864,31.206573,Mohandeseen,13182000
325.6,7,5,10,54,30.069919,31.201117,Mohandeseen,5348000
361.8,8,5,15,2,29.972845,31.268547,Maadi,10121000
363.2,8,5,5,3,30.071626,31.227263,Zamalek,17785000
336.4,8,5,13,20,30.061288,31.32334,Nasr City,4801000
144.6,3,2,3,4,29.962156,31.267144,Maadi,3205000
100.4,2,2,7,20,30.017501,31.496217,New Cairo,993000
239.6,6,5,12,57,30.09668,31.339681,Heliopolis,2723000
239.4,7,5,4,12,30.109079,31.345693,Heliopolis,5290000
398.6,8,5,16,20,30.068305,31.219174,Mohandeseen,10678000
362.7,8,5,8,2,30.099405,31.341648,Heliopolis,8200000
391.3,8,5,17,4,29.992336,30.968223,Sheikh Zayed,9175000
115.3,4,4,6,44,30.101772,31.348402,Heliopolis,1309000
247.5,6,5,1,22,30.069607,31.229706,Zamalek,6991000
262.0,6,5,17,27,29.964061,31.262445,Maadi,4453000
295.2,7,5,6,36,30.067554,31.349045,Nasr City,2463000
348.9,8,5,9,2,30.079081,31.222123,Zamalek,19722000
75.9,1,1,2,9,30.104941,31.339233,Heliopolis,954000
247.6,6,5,17,2,30.040576,31.245103,Downtown,11380000
367.1,8,5,6,14,29.969099,31.266644,Maadi,8401000
367.4,8,5,1,22,29.961896,31.268663,Maadi,4674000
75.6,2,1,13,3,30.097389,31.340247,Heliopolis,1536000
103.8,2,2,11,2,30.062817,31.203638,Mohandeseen,2677000
235.2,7,5,19,0,29.955068,31.258358,Maadi,7048000
70.8,2,2,9,6,30.006827,30.9303,Sheikh Zayed,1039000
331.8,8,5,11,38,30.061222,31.215538,Zamalek,7927000
88.7,2,1,15,11,30.058481,31.234722,Downtown,2463000
314.1,7,5,19,18,30.077904,31.220234,Zamalek,16497000
70.4,2,1,3,7,30.052097,31.214748,Mohandeseen,1377000
131.9,3,2,17,6,30.049479,31.237102,Downtown,3568000
229.5,5,5,2,12,30.051731,31.241289,Downtown,4598000
279.6,7,5,13,6,30.028011,31.400753,New Cairo,5192000
112.0,2,1,11,1,30.004176,30.924452,Sheikh Zayed,2360000
337.8,8,5,6,16,30.068588,31.211135,Mohandeseen,7606000
222.1,6,5,6,51,30.101329,31.335985,Heliopolis,2603000
267.6,6,5,11,40,30.046413,31.241878,Downtown,5901000
174.4,4,4,10,69,30.059671,31.352395,Nasr City,1520000
99.7,2,1,3,6,30.058591,31.246612,Downtown,2078000
198.9,6,5,9,3,30.011377,31.492645,New Cairo,4315000
128.6,3,3,5,25,29.999956,30.961845,Sheikh Zayed,1574000
167.5,4,3,8,9,30.021413,31.489967,New Cairo,3009000
230.9,5,5,15,7,30.060871,31.218129,Mohandeseen,7817000
244.6,6,5,7,19,29.970812,31.255002,Maadi,4300000
363.9,8,5,1,18,30.073357,31.325725,Nasr City,4762000
253.8,7,5,10,6,30.024638,31.411063,New Cairo,5999000
225.4,5,5,2,0,29.997953,30.965241,Sheikh Zayed,4083000
145.6,3,3,10,6,30.064547,31.218472,Zamalek,6414000
259.3,6,5,1,0,30.077442,31.228642,Zamalek,9107000
372.4,8,5,8,15,30.023137,31.437444,New Cairo,6037000
102.4,3,3,19,13,30.01197,31.405476,New Cairo,1685000
129.9,4,3,9,1,30.04829,31.24727,Downtown,4119000
310.8,8,5,12,36,29.957447,31.267329,Maadi,4946000
202.4,6,5,11,15,30.000393,31.466354,New Cairo,3333000
241.9,5,5,1,5,30.01192,31.442679,New Cairo,3414000
365.3,8,5,17,0,30.094162,31.346945,Heliopolis,12621000
223.6,6,5,4,3,30.025854,31.494612,New Cairo,2826000
152.6,5,4,1,0,30.084685,31.351479,Heliopolis,3010000
146.3,3,3,8,1,30.065998,31.203571,Mohandeseen,3523000
249.3,7,5,14,13,30.056137,31.249253,Downtown,6396000
64.4,1,1,19,1,30.077529,31.222859,Zamalek,2596000
363.5,8,5,11,4,30.067594,31.221806,Zamalek,20689000
323.1,8,5,12,3,30.079236,31.35119,Nasr City,4957000
355.3,8,5,17,9,30.050249,31.244834,Downtown,12109000
107.4,3,2,13,17,30.053664,31.246452,Downtown,3161000
100.0,3,2,2,12,30.099543,31.354892,Heliopolis,1569000
275.3,7,5,13,27,30.012131,31.477091,New Cairo,4326000
76.0,1,1,1,1,30.068095,31.329814,Nasr City,711000
371.3,8,5,3,44,30.091899,31.358623,Heliopolis,3932000
309.1,7,5,15,4,30.067852,31.322057,Nasr City,7406000
271.9,7,5,9,6,30.068256,31.224099,Zamalek,12626000
207.8,5,5,18,24,30.100841,31.338164,Heliopolis,2788000
334.5,8,5,10,17,30.015639,31.408671,New Cairo,6632000
356.8,8,5,17,16,30.100768,31.355476,Heliopolis,7963000
295.7,6,5,15,0,30.061765,31.219987,Mohandeseen,7387000
253.1,7,5,15,17,30.065947,31.228488,Zamalek,12177000
214.7,5,5,17,15,30.057294,31.211214,Mohandeseen,5079000
86.2,3,2,12,12,30.004119,30.963072,Sheikh Zayed,1690000
361.2,8,5,2,0,30.057402,31.230425,Downtown,13433000
123.1,3,2,3,1,30.05019,31.201054,Mohandeseen,3540000
394.6,8,5,7,11,30.021968,31.400335,New Cairo,6753000
180.6,4,3,18,3,29.981263,30.92143,Sheikh Zayed,4111000
193.2,4,4,5,23,30.041788,31.238352,Downtown,3936000
360.6,8,5,13,67,30.102301,31.33195,Heliopolis,5706000
266.6,7,5,11,2,30.056615,31.327458,Nasr City,4544000
340.9,8,5,15,3,29.965548,31.267918,Maadi,7884000
317.8,8,5,3,25,29.956733,31.256715,Maadi,5032000
71.9,3,3,2,9,30.057823,31.205459,Mohandeseen,1260000
353.1,8,5,5,19,30.065628,31.215053,Zamalek,12589000
148.3,4,3,18,1,30.056605,31.34733,Nasr City,1527000
368.2,8,5,2,11,30.005935,30.978713,Sheikh Zayed,5956000
331.1,8,5,16,18,30.10511,31.350924,Heliopolis,7904000
124.3,4,4,19,31,30.050154,31.352798,Nasr City,1434000
312.8,7,5,2,26,29.995224,30.920511,Sheikh Zayed,4358000
250.3,5,4,13,22,30.04214,31.245221,Downtown,4989000
207.0,6,5,15,40,30.06205,31.228745,Zamalek,5348000
116.6,3,3,10,9,29.951738,31.252241,Maadi,2341000
356.3,8,5,12,20,30.062602,31.225165,Zamalek,13850000
145.9,3,2,14,9,29.978329,31.253066,Maadi,2307000
115.6,3,3,11,3,30.041648,31.24361,Downtown,2992000
387.5,8,5,15,8,30.052771,31.237952,Downtown,15916000
210.4,5,4,6,3,30.044262,31.230623,Downtown,5498000
220.3,6,5,14,3,30.051823,31.203073,Mohandeseen,7583000
347.2,8,5,12,0,29.977625,31.2685,Maadi,9966000
263.4,7,5,4,12,30.056766,31.326433,Nasr City,4104000
257.9,6,5,8,5,30.063657,31.320465,Nasr City,3902000
391.4,8,5,13,21,30.078579,31.356313,Nasr City,4835000
223.4,5,5,12,64,29.954275,31.264967,Maadi,3384000
323.8,8,5,2,11,30.077651,31.21165,Zamalek,14141000
86.7,2,1,6,12,30.000684,30.984047,Sheikh Zayed,1199000
383.5,8,5,6,13,30.052332,31.242259,Downtown,10637000
301.1,8,5,15,25,30.041602,31.247896,Downtown,9208000
223.5,5,4,10,8,30.074497,31.221866,Zamalek,9725000
114.2,4,3,19,55,30.010107,31.418212,New Cairo,1397000
115.0,2,2,5,84,29.979244,31.26951,Maadi,1293000
197.1,4,3,15,4,30.069252,31.227365,Zamalek,10311000
273.8,7,5,18,30,30.01736,31.443862,New Cairo,4242000
194.5,5,5,2,23,29.99965,30.999371,Sheikh Zayed,2178000
271.8,7,5,1,2,29.971475,31.277271,Maadi,5061000
275.1,7,5,5,28,30.059846,31.204945,Mohandeseen,4305000
257.0,7,5,6,15,30.089364,31.341971,Heliopolis,5345000
283.3,7,5,12,2,29.979095,31.263614,Maadi,7738000
287.6,6,5,8,14,30.074136,31.213341,Zamalek,9365000
189.0,5,5,5,11,30.023454,31.470539,New Cairo,3388000
130.0,2,1,14,0,30.065935,31.357464,Nasr City,1958000
277.6,6,5,5,1,29.99754,30.975057,Sheikh Zayed,5442000
61.7,2,1,7,9,29.965468,31.264665,Maadi,773000
241.0,5,4,13,2,30.028195,31.47329,New Cairo,4841000
288.7,7,5,15,2,30.063853,31.216762,Mohandeseen,8635000
187.3,4,3,17,26,30.077292,31.22537,Zamalek,6035000
290.0,7,5,14,7,30.019537,31.410659,New Cairo,6035000
114.2,3,3,9,30,30.0298,31.475243,New Cairo,1131000
358.7,8,5,4,16,29.974235,31.272869,Maadi,6470000
167.8,5,5,7,0,30.046492,31.237329,Downtown,6552000
246.5,6,5,17,8,30.00044,31.458706,New Cairo,4700000
287.2,7,5,9,7,30.1059,31.345572,Heliopolis,6094000
97.0,2,1,5,4,30.069534,31.217887,Zamalek,3502000
336.4,8,5,11,0,30.053916,31.200151,Mohandeseen,11642000
282.6,7,5,13,6,30.042028,31.239717,Downtown,10468000
237.8,6,5,15,11,30.097428,31.332689,Heliopolis,4813000
200.6,4,4,7,17,29.985443,30.962013,Sheikh Zayed,3559000
160.4,5,5,10,37,30.058491,31.201741,Mohandeseen,2091000
275.3,8,5,9,23,29.999398,30.933982,Sheikh Zayed,5038000
345.6,8,5,17,4,30.055611,31.235496,Downtown,13647000
335.2,8,5,1,8,30.06306,31.214705,Zamalek,15740000
353.4,8,5,16,5,30.006907,31.420619,New Cairo,7075000
262.1,7,5,3,13,30.000275,30.955417,Sheikh Zayed,4877000
304.0,8,5,14,1,30.00173,30.966271,Sheikh Zayed,7610000
279.4,7,5,8,6,30.090307,31.348515,Heliopolis,6114000
236.5,5,5,12,3,29.9962,30.990406,Sheikh Zayed,5439000
215.3,5,4,12,16,29.996734,30.978452,Sheikh Zayed,4682000
173.4,4,3,4,48,30.069049,31.350194,Nasr City,1188000
213.1,6,5,16,16,30.073863,31.357087,Nasr City,2639000
100.7,3,2,5,20,30.003058,30.939493,Sheikh Zayed,1201000
90.3,3,3,16,10,30.054779,31.322524,Nasr City,1318000
163.1,4,3,9,1,30.028109,31.45538,New Cairo,2810000
380.4,8,5,3,23,30.061492,31.211332,Mohandeseen,5548000
130.9,4,3,6,25,30.011419,31.487797,New Cairo,1560000
132.1,4,4,3,2,30.100849,31.340383,Heliopolis,2638000
254.8,7,5,1,38,30.014612,31.460625,New Cairo,2246000
384.0,8,5,2,1,29.950774,31.254055,Maadi,9790000
87.2,3,2,13,41,30.026283,31.427775,New Cairo,870000
111.7,2,2,2,9,30.051163,31.219897,Mohandeseen,1954000
270.6,6,5,19,2,29.982239,30.982616,Sheikh Zayed,6312000
81.2,2,2,8,25,30.098457,31.339188,Heliopolis,933000
282.9,8,5,5,32,30.013494,31.419462,New Cairo,2712000
120.1,3,3,2,2,30.062557,31.351614,Nasr City,1196000
318.5,7,5,5,3,29.980364,30.939296,Sheikh Zayed,6679000
150.4,4,4,4,29,29.957304,31.269551,Maadi,1943000
187.8,4,3,10,23,29.976763,31.27866,Maadi,2688000
335.0,8,5,10,39,30.045061,31.245623,Downtown,7348000
276.6,7,5,8,3,30.026682,31.445062,New Cairo,5725000
74.2,1,1,1,1,30.082138,31.330363,Heliopolis,1241000
232.9,6,5,14,71,30.009122,30.995385,Sheikh Zayed,2652000
93.5,3,2,8,4,30.060419,31.211643,Zamalek,4284000
365.6,8,5,9,7,30.006171,31.412139,New Cairo,8729000
386.3,8,5,18,5,30.042505,31.239487,Downtown,16848000
264.6,7,5,16,25,30.07313,31.212562,Zamalek,10189000
92.3,2,1,18,42,30.054814,31.20243,Mohandeseen,1224000
228.7,5,5,3,16,30.089508,31.356378,Heliopolis,3733000
316.7,8,5,14,19,30.003293,30.972493,Sheikh Zayed,4828000
168.8,5,5,13,2,29.953952,31.271779,Maadi,4000000
111.2,2,1,11,21,29.972303,31.268358,Maadi,1790000
252.1,7,5,12,15,30.072834,31.326403,Nasr City,3525000
312.2,8,5,8,3,30.057596,31.243151,Downtown,11214000
248.7,7,5,2,6,30.055676,31.241085,Downtown,6076000
346.3,8,5,5,1,29.961561,31.269301,Maadi,7614000
361.3,8,5,6,7,30.073912,31.210064,Zamalek,13462000
191.8,5,5,4,10,30.054468,31.232083,Downtown,5829000
250.9,6,5,2,13,30.072043,31.210459,Zamalek,9976000
79.9,2,1,6,3,29.974754,31.265609,Maadi,1276000
110.1,2,2,1,1,29.986618,30.967858,Sheikh Zayed,1810000
276.8,7,5,15,7,30.056796,31.237677,Downtown,10761000
383.1,8,5,10,6,30.040524,31.230484,Downtown,12735000
376.1,8,5,10,28,30.044511,31.237538,Downtown,9295000
123.3,4,3,5,18,30.098935,31.331495,Heliopolis,1791000
283.4,8,5,12,0,30.001089,31.427572,New Cairo,6031000
368.1,8,5,16,21,30.058995,31.215534,Mohandeseen,8632000
75.8,2,2,4,5,30.103156,31.332593,Heliopolis,1172000
67.4,2,1,15,32,30.057869,31.216557,Mohandeseen,971000
393.6,8,5,5,12,29.993918,30.99776,Sheikh Zayed,8496000
388.9,8,5,18,19,30.09254,31.332665,Heliopolis,8829000
99.0,3,2,11,1,30.101235,31.346306,Heliopolis,2612000
136.9,4,3,5,43,30.075499,31.346761,Nasr City,712000
314.8,7,5,8,1,29.990679,30.998245,Sheikh Zayed,6322000
327.3,8,5,4,21,29.965582,31.256146,Maadi,5421000
250.5,7,5,2,1,30.049279,31.248184,Downtown,8511000
192.8,5,5,18,1,30.048821,31.233912,Downtown,8558000
275.8,7,5,15,36,29.995991,30.932636,Sheikh Zayed,3281000
249.7,6,5,3,6,30.026916,31.416885,New Cairo,5659000
122.6,4,3,16,2,30.058806,31.212306,Mohandeseen,3529000
351.3,8,5,14,5,30.079652,31.339414,Nasr City,6775000
116.4,4,4,5,12,30.070548,31.224387,Zamalek,3743000
131.3,3,3,9,25,30.070816,31.224205,Zamalek,3429000
281.6,7,5,2,25,30.067596,31.210509,Mohandeseen,3502000
302.1,8,5,1,4,30.084259,31.340438,Heliopolis,7642000
208.1,5,5,5,24,30.056875,31.235079,Downtown,4049000
102.9,3,2,3,17,30.041393,31.233498,Downtown,2030000
84.7,1,1,4,30,30.086466,31.340811,Heliopolis,864000
71.3,1,1,14,35,29.986983,30.984592,Sheikh Zayed,765000
250.5,5,4,14,9,29.975937,31.266399,Maadi,5980000
200.3,6,5,17,0,29.972197,31.277542,Maadi,6291000
390.7,8,5,9,27,29.979454,31.26864,Maadi,6083000
163.6,5,4,19,30,30.042252,31.244074,Downtown,3180000
75.7,2,1,14,13,30.058917,31.331997,Nasr City,946000
263.6,6,5,8,31,30.059912,31.333616,Nasr City,2706000
71.8,2,1,14,29,30.095643,31.331909,Heliopolis,895000
134.9,3,3,9,36,30.020076,31.482929,New Cairo,1282000
296.1,7,5,12,9,29.984126,30.947265,Sheikh Zayed,7115000
210.7,5,5,6,13,30.021079,31.423743,New Cairo,2897000
327.5,8,5,2,4,30.064187,31.359354,Nasr City,5013000
275.6,6,5,18,6,30.094175,31.331369,Heliopolis,6600000
213.2,5,5,8,9,30.048949,31.239486,Downtown,5639000
235.6,5,4,17,3,30.040734,31.232161,Downtown,9796000
134.3,3,2,9,7,30.041742,31.242341,Downtown,3465000
240.7,7,5,9,0,30.100263,31.331346,Heliopolis,6585000
194.2,5,4,8,35,30.001421,30.968632,Sheikh Zayed,2051000
160.9,4,3,5,0,30.099092,31.331534,Heliopolis,3950000
286.2,8,5,18,1,30.071926,31.220992,Zamalek,19322000
84.1,1,1,9,42,30.053371,31.243573,Downtown,1345000
230.7,5,5,7,31,30.074479,31.212411,Zamalek,4485000
240.2,7,5,8,25,30.073898,31.22065,Zamalek,6855000
74.9,1,1,6,28,30.06385,31.208599,Mohandeseen,913000
86.4,2,1,12,24,29.974673,31.275727,Maadi,1214000
362.5,8,5,4,7,30.095774,31.34535,Heliopolis,8497000
206.4,4,3,1,6,30.004634,31.402545,New Cairo,3658000
191.2,5,5,17,1,29.975414,31.265933,Maadi,6099000
134.1,4,4,4,2,30.109161,31.336855,Heliopolis,2636000
190.6,4,3,11,7,29.984801,30.921868,Sheikh Zayed,3847000
110.0,3,2,5,27,29.961112,31.261244,Maadi,932000
341.1,8,5,15,2,30.060619,31.229415,Zamalek,16704000
244.1,5,5,13,11,30.072857,31.353346,Nasr City,2778000
301.1,7,5,14,16,30.087051,31.354921,Heliopolis,5819000
178.1,5,4,3,2,30.024503,31.420731,New Cairo,3428000
272.0,7,5,19,3,30.067903,31.210789,Zamalek,17292000
301.7,8,5,2,19,30.050668,31.247399,Downtown,7561000
79.6,2,2,14,0,30.029088,31.494911,New Cairo,1456000
393.5,8,5,6,13,30.067507,31.215716,Zamalek,17382000
266.0,7,5,18,19,30.067889,31.20912,Mohandeseen,5904000
341.4,8,5,7,46,30.006014,31.410926,New Cairo,3706000
161.5,4,4,6,4,30.040616,31.249431,Downtown,5312000
375.0,8,5,11,30,29.995817,30.970604,Sheikh Zayed,5915000
154.8,3,3,15,69,30.044013,31.249893,Downtown,2797000
160.2,3,3,4,26,30.102214,31.334286,Heliopolis,2065000
335.1,8,5,2,1,30.091973,31.351694,Heliopolis,8273000
198.6,5,4,11,6,30.05333,31.352329,Nasr City,3054000
291.8,7,5,10,4,30.094348,31.334356,Heliopolis,7505000
197.0,5,4,2,4,30.07607,31.228585,Zamalek,8523000
258.3,7,5,9,3,29.98101,30.93717,Sheikh Zayed,5686000
280.3,6,5,10,13,29.968744,31.252153,Maadi,5073000
139.8,3,3,4,2,30.02326,31.427141,New Cairo,2523000
113.9,4,3,2,19,30.055431,31.208049,Mohandeseen,2021000
300.4,7,5,8,0,30.057405,31.349636,Nasr City,5810000
376.5,8,5,19,12,30.005996,30.965745,Sheikh Zayed,6863000
387.8,8,5,1,39,30.105327,31.350275,Heliopolis,3747000
116.8,3,3,5,50,30.065221,31.219015,Mohandeseen,1178000
221.6,6,5,10,1,29.994957,30.95081,Sheikh Zayed,5668000
207.1,5,4,14,22,30.080086,31.355769,Heliopolis,3564000
349.1,8,5,6,9,30.026405,31.421574,New Cairo,5546000
316.4,7,5,8,15,30.002158,30.94525,Sheikh Zayed,4877000
219.2,6,5,11,6,30.081743,31.333345,Heliopolis,5943000
244.9,5,4,14,4,30.078221,31.226765,Zamalek,12111000
227.6,5,5,12,13,29.950298,31.263923,Maadi,4749000
74.2,2,2,16,22,30.015639,31.497601,New Cairo,1064000
121.8,3,2,1,20,30.064465,31.222837,Zamalek,3423000
60.5,1,1,13,54,30.025412,31.402359,New Cairo,554000
159.0,3,3,4,34,30.054203,31.248748,Downtown,2320000
224.6,6,5,12,0,30.079156,31.228854,Zamalek,12451000
324.2,8,5,12,14,30.026882,31.484719,New Cairo,6231000
256.6,6,5,8,15,29.961645,31.270224,Maadi,4498000
174.7,5,5,15,0,30.0207,31.46901,New Cairo,3326000
62.7,2,2,1,47,30.070593,31.214838,Zamalek,1391000
271.1,8,5,18,11,29.985409,30.956688,Sheikh Zayed,6409000
116.4,3,2,13,0,29.975309,31.279436,Maadi,2921000
284.1,6,5,3,10,30.0122,31.495302,New Cairo,4813000
253.6,6,5,18,13,30.052192,31.344894,Nasr City,4202000
193.5,6,5,4,4,30.062812,31.213332,Mohandeseen,4725000
386.5,8,5,12,0,29.950271,31.260711,Maadi,9532000
120.5,3,2,5,4,30.012083,31.489464,New Cairo,2105000
100.3,2,1,2,74,29.981347,30.980881,Sheikh Zayed,700000
71.1,1,1,14,14,30.009773,30.950906,Sheikh Zayed,883000
181.9,5,4,1,3,30.007547,30.928144,Sheikh Zayed,2663000
137.8,4,3,2,17,30.044498,31.238628,Downtown,2948000
208.4,5,5,12,21,30.088475,31.340592,Heliopolis,3382000
339.9,8,5,13,13,30.005584,31.433156,New Cairo,7466000
71.2,2,2,4,5,30.06759,31.2092,Mohandeseen,1311000
111.5,4,4,13,0,30.003836,31.476555,New Cairo,2656000
260.7,6,5,5,19,30.044011,31.234072,Downtown,6130000
60.5,2,1,12,3,30.099891,31.352257,Heliopolis,1186000
318.1,8,5,5,18,30.004503,30.934529,Sheikh Zayed,5812000
198.0,4,3,8,16,30.052354,31.34178,Nasr City,2235000
67.0,1,1,9,4,30.072569,31.219637,Zamalek,2612000
302.9,8,5,17,10,30.060178,31.207386,Mohandeseen,8813000
212.6,5,5,7,9,30.05842,31.243892,Downtown,6509000
70.5,1,1,13,3,30.053303,31.233147,Downtown,2117000
298.4,8,5,13,44,30.049925,31.23761,Downtown,6443000
368.2,8,5,3,0,30.101111,31.359108,Heliopolis,8072000
93.2,2,2,19,18,29.996029,30.963259,Sheikh Zayed,1182000
353.3,8,5,3,45,30.086802,31.35638,Heliopolis,3813000
113.5,2,2,2,30,30.053454,31.245934,Downtown,1756000
349.2,8,5,18,4,29.954884,31.255607,Maadi,8734000
157.8,4,4,12,14,30.010021,31.47327,New Cairo,2341000
181.0,4,4,19,16,29.952163,31.256162,Maadi,3690000
381.1,8,5,7,15,30.05398,31.208367,Mohandeseen,8320000
170.6,5,5,8,1,29.995561,30.934349,Sheikh Zayed,3699000
246.2,7,5,5,3,30.067465,31.328178,Nasr City,3508000
129.8,3,2,2,5,29.969703,31.279056,Maadi,2370000
262.4,6,5,6,1,29.962911,31.270874,Maadi,5588000
150.9,3,3,6,4,30.073521,31.224133,Zamalek,5775000
258.4,7,5,2,30,30.108402,31.333177,Heliopolis,3349000
322.6,8,5,13,7,29.950462,31.267488,Maadi,8861000
244.3,7,5,4,19,30.052345,31.244788,Downtown,6352000
62.8,1,1,15,4,30.068688,31.224469,Zamalek,2209000
398.7,8,5,9,4,30.074281,31.211828,Zamalek,20832000
369.9,8,5,14,4,30.087427,31.331876,Heliopolis,9559000
204.4,5,5,11,13,29.991166,30.946643,Sheikh Zayed,3574000
377.1,8,5,3,14,30.022286,31.473792,New Cairo,6817000
159.1,5,5,9,3,30.073992,31.333344,Nasr City,2349000
144.5,4,3,8,8,30.072986,31.228726,Zamalek,6608000
202.6,5,4,11,13,30.006033,31.459023,New Cairo,3102000
375.2,8,5,3,7,30.099655,31.337807,Heliopolis,5572000
98.0,2,2,10,42,30.072403,31.348823,Nasr City,688000
158.3,4,3,10,11,30.010707,31.435379,New Cairo,3015000
356.7,8,5,5,5,30.010633,31.450563,New Cairo,6882000
341.8,8,5,5,16,29.975137,31.275763,Maadi,6003000
200.9,4,4,15,16,29.955378,31.270818,Maadi,3733000
311.8,8,5,6,23,30.045936,31.240827,Downtown,7171000
66.5,1,1,19,4,30.060628,31.324214,Nasr City,996000
165.7,3,3,19,6,30.022482,31.457191,New Cairo,2677000
249.3,6,5,1,11,29.970893,31.271064,Maadi,4587000
245.9,6,5,16,43,29.970899,31.264871,Maadi,2960000
174.7,4,3,17,3,29.991756,30.991654,Sheikh Zayed,3953000
324.0,8,5,3,12,29.998853,30.975091,Sheikh Zayed,4839000
359.7,8,5,1,9,30.026225,31.420344,New Cairo,5901000
213.4,5,4,9,32,30.059326,31.201514,Mohandeseen,2768000
280.2,6,5,16,3,30.05126,31.33917,Nasr City,5435000
82.6,2,2,18,7,30.066076,31.208669,Mohandeseen,1830000
380.5,8,5,19,1,30.101877,31.348252,Heliopolis,10216000
305.7,8,5,11,26,30.02527,31.437324,New Cairo,5212000
333.5,8,5,16,1,30.06533,31.211674,Mohandeseen,12227000
290.3,8,5,5,3,30.064265,31.207732,Mohandeseen,8680000
126.3,4,4,17,4,30.018162,31.443316,New Cairo,2792000
275.0,6,5,13,18,29.991586,30.96708,Sheikh Zayed,5097000
142.1,3,2,12,19,30.054915,31.241159,Downtown,2894000
339.4,8,5,17,4,29.970771,31.257922,Maadi,10292000
314.4,7,5,13,26,30.063893,31.331138,Nasr City,4077000
285.1,8,5,6,23,30.075473,31.224957,Zamalek,10083000
207.0,4,4,6,8,30.057769,31.246487,Downtown,6270000
169.8,5,5,8,19,30.093093,31.350003,Heliopolis,2871000
347.3,8,5,6,1,30.079978,31.216533,Zamalek,19016000
61.9,1,1,15,5,30.066362,31.229223,Zamalek,2657000
182.5,5,5,16,5,29.950472,31.250514,Maadi,4745000
73.2,3,3,3,41,30.012444,31.440233,New Cairo,647000
257.5,7,5,19,8,29.971222,31.261677,Maadi,7458000
188.9,4,3,5,15,30.094079,31.343292,Heliopolis,2506000
280.8,8,5,6,13,30.061067,31.219095,Zamalek,13163000
97.4,3,2,5,0,30.072885,31.229485,Zamalek,4491000
